IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV,
19,5,UP,0519SX011,,,,,19,5,UP,0519SX011,,,19,5,16,9,30,PM,1,0,0,0,0,,HARWOOD,137.3,48,77,4,1,40,E,MEWW,4,12422,1,Y,SINGLE MAIN TRACK,4,5.4,1,MP,260411,62,N,MP,260411,62,N,3,0,0,0,2,0,0,0,0,0,90,0,27,0,0,0,0,1,0,0,18905,5555,E39C,,0,0,0,0,E39C,1,4,40,24460,,48C177,0,0,0,1,0,1,0,11,10,11,10,1,5,,CL,,,,280,,2019,0,0,0,0,0,0,GONZALES,177,,,,N,CWR,000-000-000,THE MEWWC-16 DERAILED RAILCAR MP260411 AFTER TRAIN WENT INTO EMERGENCY STOP ONCE THE TRAIN SEPARATED,".  UPON INVESTIGATION, IT WAS FOUND THAT AN AIRHOSE CAME APART AND CAUSED A DRAWBAR TO PULL APART DU",E TO WEAK LUGS.  THIS DRAWBAR CAUSED THE CAR TO LIFT AND DERAIL 1 SET OF TRUCKS.,,,,,,,,,,,,,0,29.68933,-97.394176,1,1,Q,,,GLIDDEN SUB,
19,5,UP,0519SX015,,,,,19,5,UP,0519SX015,,,19,5,18,7,55,AM,1,2,2,0,0,,SAN ANTONIO,264.61,48,75,2,3,3,E,YSA3,1,12668,7,Y,YARD 103,1,,2,PTTX,137504,145,N,,,0,,3,0,0,0,0,0,0,0,0,0,97,0,45,0,0,1,0,5,0,0,302710,93934,H503,,0,0,0,0,H503,2,1,3,396644,,48C029,0,0,0,1,0,0,2,9,25,,,1,5,,CL,,,,213,,2019,0,0,0,0,0,0,BEXAR,29,0,0,,N,OTH,000-000-000,"TRAIN YSA34-17, LEAD LOCOMOTIVE UP5203, WAS SHOVING NORTHBOUND AT THE SOUTH END OF THE RIP TRACKS NE","AR MP265 OF THE LAREDO SUB.  UPON INVESTIGATION, IT WAS FOUND THAT 6 CARS HAD DERAILED DURING THE SH",OVE MOVEMENT.,,,,,,,,,,,,,0,29.366166,-98.565613,2,5,K,,,LAREDO SUB,
19,5,UP,0519SX018,,,,,19,5,UP,0519SX018,,,19,5,19,12,20,PM,1,0,0,0,0,,SAN ANTONIO,264.0,48,82,2,1,5,E,YSA1,1,8000,7,Y,YARD 911,1,,2,FTTX,940978,47,N,,,0,,3,0,0,0,0,0,0,0,0,0,69,0,30,0,0,0,0,3,0,0,20530,4885,M405,,0,0,0,0,M405,2,1,5,25415,,48C029,0,0,0,1,0,1,1,5,21,5,21,1,5,,CL,,,,253,,2019,0,0,0,0,0,0,BEXAR,29,,,,N,OTH,000-000-000,THE YSA11-19 WAS SHOVING 89 CARS NORTH INTO 911 TRACK TO SET ON TRAIN MSAMX-19.  WHILE SHOVING NORTH,"WITH THE CUT, 43 CARS SUCCESSFULLY WENT INTO TRACK 911, THEN LINES 45, 46, AND 47 DERAILED.  CAUSE",IS DUE TO INTERACTION OF LATERAL AND VERTICAL FORCES.,,,,,,,,,,,,,0,29.374152,-98.559664,2,5,K,,,LAREDO SUB,
19,12,TXGN,TXGN191210,,,,,19,12,TXGN,TXGN191210,,,19,12,10,12,30,PM,1,0,0,0,0,,GONZALES,4.5,48,45,2,2,6,E,T101,1,1066,1,Y,LOOP TRACK,1,,2,CEFX,201255,7,Y,,,0,,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,32900,200,H303,,0,0,0,0,H303,2,1,6,33100,,48C177,0,0,0,1,,1,,3,30,3,30,1,5,,Cl,,,,98,,2019,0,0,0,0,0,0,GONZALES,177,0,0,,N,OTH,000-000-000,EMPLOYEE PROTECTING SHOVE FAILED TO LINE SWITCH THROW DERAIL FOR INTENDED ROUTE.  ONE CAR DERAILED,,,,,,,,,,,,,,,0,29.607595,-97.466397,2,5,K,,,EAGLE,
19,8,WC,1008210,,,,,19,8,WC,1008210,,,19,8,5,3,45,PM,1,2,0,0,0,,FOND DU LAC,158.10,55,80,2,1,3,E,YFY2,2,0,7,Y,TR WAUKESHA,2,63.78,2,CN,626244,2,Y,,,0,,2,0,0,0,0,0,0,0,0,0,25,0,13,0,0,2,0,2,0,0,1900,15217,H702,,0,0,0,0,H702,2,2,3,17117,,55C039,0,0,0,1,0,1,0,4,48,4,40,1,4,,No,,,,340,,2019,0,0,0,0,0,0,FOND DU LAC,39,,,,N,CWR,000-000-000,AT 1545 CDT ON AUGUST 5TH FOND DU LAC YARD ASSIGNMENT YFY248-05 WAS IN THE PROCESS OF SHOVING 10 CAR,S INTO TRACK N064 TRACK WHEN THEY DERAILED CN 626244 (LOADED NUMBER) UPRIGHT IN TRACK N064. THE CREW,"FAILED TO LINE THE NORTH END CROSSOVER FOR THEIR MOVEMENT, SHOVING THROUGH THE SWITCH AND DERAILING",WHEN THEY PULLED SOUTHWARD. NO INJURIES,,,,,,,,,,,,0,43.798029,-88.470147,2,5,,,,WAUKESHA,
19,12,UP,1219GP035,,,,,19,12,BNSF,PR1219107,,,19,12,9,1,45,AM,13,0,0,0,0,,BILL,80.6,56,18,4,2,22,E,CGGC,4,3124,1,Y,MAIN LINE 2,4,22.6,1,UP,5565,1,,,,0,,2,0,2,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,H403,,0,0,0,0,H403,1,4,22,90000,,56C009,0,0,0,1,0,1,0,,45,,45,1,8,,CL,,,,261,,2019,0,0,0,0,0,0,CONVERSE,9,,,,N,CWR,000-000-000,CREW THOUGHT THEY WERE OPERATING ON MAIN TRACK 1 AND WERE ON MAIN TRACK 2.  PASSED SIGNAL DISPLAYING,STOP INDICATION AND OCCUPIED SEGMENT OF MAIN TRACK WITHOUT AUTHORITY.  CREW RAN THRU BNSF MAINTAINE,"D SWITCH.  BNSF MAINTAINS TRACK.  BNSF TRACK DAMAGE = $90,000",,,,,,,,,,,,,0,43.254152,-105.279979,1,1,Q,,,ORIN SUB,
19,12,UP,1219RM024,,,,,19,12,UP,1219RM024,,,19,12,30,9,0,PM,13,0,0,0,0,,GREEN RIVER,816.75,56,4,4,1,0,E,,,131,5,N,YARD 016,1,,2,FURX,125772,1,Y,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15265,0,H312,,0,0,0,0,H312,2,1,0,15265,,56C037,0,0,0,0,0,0,0,,,,,1,8,,CL,,,,104,,2019,0,0,0,0,0,0,SWEETWATER,37,,,,N,OTH,000-000-000,CAR WAS BYPASSED AND DAMAGE WAS CAUSED BY THE CAR.  IT WAS FAILED TO BE REPORTED AS SUCH.  CREW UNKN,OWN.,,,,,,,,,,,,,,0,41.524256,-109.462619,2,5,,,,RAWLINS SUB,
19,2,UP,0219MA051,,,,,19,2,UP,0219MA051,,426260X,19,2,26,5,52,PM,7,0,0,0,0,,LITTLE ROCK,312.63,5,61,2,2,34,R,WMAC,2,9197,4,Y,SINGLE MAIN TRACK,4,43.0,1,UP,8166,1,,,,0,,3,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,15925,0,M302,,0,1,0,1,M302,1,4,34,15925,,05C119,1,0,0,1,0,1,0,2,12,2,12,1,5,,CL,,,,230,,2019,0,0,0,0,0,1,PULASKI,119,,,,N,CWR,000-000-000,"WMACHB-22 CAME AROUND A BEND TO THE CROSSING LOCATED AT MP 312.63, WHEN A SEMI-TRUCK TOWING A WATER",TRUCK ON A LOW BOY TRAILER WAS STOPPED ON THE CROSSING.  THE CREW PLACED THE TRAIN INTO EMERGENCY PR,IOR TO STRIKING THE EQUIPMENT.,,,,,,,,,,,,,0,34.686138,-92.236945,1,1,Q,,,WHITE BLUFF SUB,
19,9,ATK,161026,,,,,19,9,ATK,161026,,,19,9,10,8,2,AM,1,0,0,0,0,,WASHINGTON,134.5,11,86,2,1,5,E,182,2,0,8,Y,24N,1,,2,AMT,182,1,,,,0,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35900,0,H306,H303,0,0,0,0,H306,2,1,5,35900,,11C001,0,0,0,1,0,0,0,1,10,,,1,2,,No,,,,377,,2019,0,0,0,0,0,0,"WASHINGTON, DC",1,0,0,,N,CWR,,"A CLASS 4 ENGINEER WHILE OPERATING 2 LITE ENGINES, E/541 AND E/182, DERAILED E/182 AT MP 134.5 ON TR",ACK 24 NORTH OVER THE DERAIL AND BLUE FLAG WHILE OPERATING IN REVERSE DIRECTION WITHOUT POINT PROTEC,TION.  THE CLASS 4 ENGINEER WAS OPERATING FROM E/182 AND THE REAR TRUCK AND 2 AXLES DERAILED.  THE E,NGINEER OPERATED IN A REVERSE DIRECTION OVER DERAIL WITHOUT POINT PROTECTION.,,,,,,,,,,,,0,38.909782,-77.001162,2,5,L,,,SOSS,
19,2,ATK,157623,,,,,19,2,ATK,157623,,,19,2,13,2,40,PM,13,0,0,0,0,,WASHINGTON,136.0,11,50,2,1,8,E,737,2,0,8,Y,19 TRACK LEAD,1,,2,AMT,737,1,N,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18600,H605,H702,0,0,0,0,H605,2,1,8,18600,,11C001,0,0,0,1,0,1,1,8,40,8,40,1,2,,No,,,,356,,2019,0,0,0,0,0,0,"WASHINGTON, DC",1,,0,,N,CWR,,"RULE VIOLATION:  WS-202A ON YARD ENGINE 737 WAS TO LEAVE 19 SHOP TRACK ON THE SOUTH END, AND MAKE A","REVERSE MOVEMENT TO 14 SHOP.  THEY PASSED STOP SIGNAL 659 WITHOUT AUTHORITY AND TRAVELED 574.6 FT.,",BREAKING SWITCH #616 WHICH WAS NOT LINED FOR THEIR MOVEMENT.  SOUTH END 616 SWITCH ROD AND MACHINE D,AMAGED BEYOND REPAIR.  THERE WERE NO INJURIES TO REPORT.,,,,,,,,,,,,0,38.914297,-76.992574,1,5,G,L,,SOSS,
