railroad,incdtno,year,month,day,timehr,timemin,ampm,type,carshzd,station,state,temp,visiblty,weather,trnspd,typspd,tons,trkclas,typtrk,loadf1,emptyf1,cause,acctrk,acctrkcl,highspd,accdmg,stcnty,totinj,totkld,enghr,cdtrhr,jointcd,region,year4,county,cntycd,narr1,narr2,narr3,latitude,longitud
UTAH,UTA022722D,22,3,6,10,0,AM,1,0,PROVO,49,33,2.0,6.0,5,E,3395,1,2.0,20,11,H704,2.0,1,5,121815,49C049,0,0,2.0,2.0,1,7,2022,UTAH,49,A TRAIN CREW WAS PULLING A CUT OF CARS OUT OF A YARD TRACK TO CLEAR A SWITCH AND THEN SHOVE THE CARS,IN THE ADJACENT TRACK. THE ENGINEER WAS LOOKING AT THE SWITCH TARGETS ON THE LEAD (LEFT SIDE) AND F,AILED TO NOTICE THE SWITCH ON THE RIGHT WAS LINED AGAINST THE MOVEMENT. SUBSEQUENTLY THE ENGINEER RA,40.222489,-111.65024
UP,0822MA007,22,8,4,2,10,AM,12,0,VAN BUREN,5,81,4.0,1.0,0,R,5221,1,2.0,38,6,H306,2.0,1,9,782122,05C033,0,0,,,1,5,2022,CRAWFORD,33,THE CREW OF TRAIN MNLNP-03 FAILED TO PROTECT A SHOVING MOVEMENT DURING A SET OUT AT VAN BUREN INTO T,HE NORTH END OF YARD TRACK 2. THIS UNPROTECTED SHOVE RESULTED IN A COLLISION WITH A CUT OF CARS THAT,"WAS PREVIOUSLY SET OUT IN THAT TRACK AT THE SOUTH END OF THE YARD. IN THE PROCESS OF DERAILING, THE",35.430071,-94.344022
UP,0822MA007,22,8,4,2,10,AM,12,0,VAN BUREN,5,81,4.0,1.0,9,R,9431,1,2.0,64,32,H306,2.0,1,9,782122,05C033,0,0,1.0,,3,5,2022,CRAWFORD,33,THE CREW OF TRAIN MNLNP-03 FAILED TO PROTECT A SHOVING MOVEMENT DURING A SET OUT AT VAN BUREN INTO T,HE NORTH END OF YARD TRACK 2. THIS UNPROTECTED SHOVE RESULTED IN A COLLISION WITH A CUT OF CARS THAT,"WAS PREVIOUSLY SET OUT IN THAT TRACK AT THE SOUTH END OF THE YARD. IN THE PROCESS OF DERAILING, THE",35.430071,-94.344022
UP,0922NC005,22,9,5,11,12,PM,1,0,EMIGRANT GAP,6,83,4.0,2.0,14,R,6887,2,1.0,50,16,E33C,1.0,2,14,50805,06C061,0,0,5.0,5.0,1,7,2022,PLACER,61,"MRVNP-05 WAS TRAVELING EAST ON MAIN TRACK 2, WHEN TRAIN TOOK UDE AT MP 159.19. TRAIN HAD BEEN IN TRA",CK 8 WITH NO AIR SET AND NO THROTTLE ADJUSTMENTS FOR APPROXIMATELY 6 MILES PRIOR TO UDE. DURING INSP,"ECTION, CONDUCTOR FOUND DRAWBAR BETWEEN 12TH AND 13TH CARS HAD COME OUT AND DERAILED THE TTZX855423.",39.198577,-120.772514
UP,0922NC008,22,9,8,10,30,AM,1,0,VISALIA,6,73,2.0,1.0,0,,0,3,3.0,0,0,H702,3.0,3,2,34449,06C107,0,0,4.0,4.0,1,7,2022,TULARE,107,"SJVR CREW ON THE LGJGJJ-08, REPORTED THAT THEY DERAILED AT MP 239.19 ON THE FRESNO SUB, SOUTH END OF","THE GOSHEN SIDING. 3 CARS DERAILED DURING A SET OF SWITCHING MOVEMENTS BY THE CREW. NO SPILLS, NO I","NJURIES REPORTED. DURING THE INVESTIGATION, IT WASFOUND THAT THE 3/738 SWITCH WAS RAN THROUGH ON A N",36.350985,-119.420851
BNSF,CA0822110,22,8,23,7,58,PM,13,0,BARSTOW,6,95,3.0,1.0,8,E,0,1,2.0,0,0,M409,2.0,1,8,41701,06C071,0,0,,5.0,1,7,2022,SAN BERNARDINO,71,Y BAR2012 23A WAS OPERATING A LOCOMOTIVE FROM THE HUMP TO THE RECEIVING YARD WHEN 1 LOCOMOTIVE DERAI,LED DUE TO BANDING STRAP FOULING THE SWITCH.,,34.895542,-117.058239
UP,0922NC010,22,9,10,5,20,AM,1,0,FRESNO,6,88,1.0,2.0,5,R,5761,1,2.0,42,6,H524,2.0,1,5,245227,06C019,0,0,11.0,11.0,1,7,2022,FRESNO,19,"MNPFR-05, WAS IN THE PROCESS OF SHOVING THEIR TRAIN FROM MAIN TRACK 2 TO YARD TRACK 2 IN FRESNO YARD","WHEN, THE 21ST CAR DERAILED WHILE GOING THROUGH THE CROSSOVER. AN ADDITIONAL 4 CARS, DERAILED UPRIG","HT, FOR A TOTAL OF 5 CARS. INVESTIGATION FOUND THEENGINEER HAD TOO MANY LOCOMOTIVES ONLINE AND CAUSE",36.793012,-119.86022
CFRC,22002,22,1,2,8,31,PM,9,0,LONGWOOD,12,75,4.0,1.0,0,,0,4,1.0,0,0,M402,1.0,4,50,14088,12C117,0,0,,,2,3,2022,SEMINOLE,117,P09202 OPERATING NORTHBOUND ON TRACK #2 STRUCK AN UNOCCUPIED VEHICLE JUST SOUTH OF THE CHURCH AVENUE,"GRADE CROSSING, MP 777.72. DAMAGE WAS REPORTED TO THE TRAIN AND THE MOTOR VEHICLE. THE MOTORIST WAS","ABLE TO EXIT THE VEHICLE AFTER IT HAD A FLAT TIRE. THERE WERE NO INURIES TO THE PASSENGERS, MOTORIS",28.699912,-81.345977
CFRC,22053,22,2,22,11,35,AM,1,0,KISSIMMEE,12,82,2.0,1.0,4,R,0,4,2.0,0,0,H303,2.0,4,4,13700,12C097,0,0,7.0,6.0,1,3,2022,OSCEOLA,97,P31322 RAN OVER A DERAIL WHILE ATTEMPTING TO ENTER THE YARD. THE CONDUCTOR UNLOCKED BUT DID NOT REMO,VE THE DERAIL AND THE ENGINEER WAS THEN GIVEN PERMISSION VIA HAND SIGNAL TO PROCEED AND DID NOT VERI,FY THAT THE DERAIL WAS REMOVED. BOTH WHEELS OF THE LEAD TRUCK ROLLED OVER THE DERAIL AND ROLLED ON T,28.258655,-81.481278
CP,1001783636,22,10,21,10,10,PM,1,0,DUBUQUE,19,47,4.0,1.0,10,R,9233,2,3.0,57,57,T210,3.0,2,10,251209,19C061,0,0,4.0,4.0,1,6,2022,DUBUQUE,61,TRAIN 260-21 WENT INTO EMERGENCY WHILE DEPARTING OFF THE SIDING IN DUBUQUE. THE TRAIN WAS TRAVELING,AT 10.3 MPH AND IN THROTTLE NOTCH 3 WHEN THE TRAIN WENT INTO EMERGENCY. THE CONDUCTOR INSPECTED AND,"FOUND SIX LOADED SAND CARS DERAILED, FOUR ON THEIR SIDE AND TWO UPRIGHT. ENGINEERING INSPECTED THE S",42.493811,-90.662004
