incdtno,date,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd,visiblty_>1 mile and <=2 miles,visiblty_>1/2 mile and <=1 mile,visiblty_>1/4 mile and <=1/2 mile,weather_clear/pc,weather_crosswinds,weather_fog/smoke,weather_rain,weather_snow/hail,acctrkcl_max spd 10mph or less,acctrkcl_max spd 20-25mph,acctrkcl_max spd 25-40mph,acctrkcl_max spd 40-60mph,acctrkcl_max spd 60mph or more,acctrk_leased another railroad,acctrk_owned by carrier,acctrk_trackage rights only
UTA022722D,2022-03-06,10,0,AM,Derailment,West Virginia,33,>1/4 mile and <=1/2 mile,Blowing Dirt,5,3395,20,11,Human,Leased Another Railroad,Max spd 10mph or less,2,2,49,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0822MA007,2022-08-04,2,10,AM,Hazardous material release,California,81,>1 mile and <=2 miles,Clear/PC,0,5221,38,6,Human,Leased Another Railroad,Max spd 10mph or less,3,3,33,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0822MA007,2022-08-04,2,10,AM,Hazardous material release,California,81,>1 mile and <=2 miles,Clear/PC,9,9431,64,32,Human,Leased Another Railroad,Max spd 10mph or less,1,3,33,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0922NC005,2022-09-05,11,12,PM,Derailment,Colorado,83,>1 mile and <=2 miles,Rain,14,6887,50,16,Other,Owned by Carrier,Max spd 10-20mph,5,5,61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0922NC008,2022-09-08,10,30,AM,Derailment,Colorado,73,>1/4 mile and <=1/2 mile,Clear/PC,0,0,0,0,Human,Jointly Owned,Max spd 20-25mph,4,4,107,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
CA0822110,2022-08-23,7,58,PM,,Colorado,95,>1/2 mile and <=1 mile,Clear/PC,8,0,0,0,Other,Leased Another Railroad,Max spd 10mph or less,3,5,71,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0922NC010,2022-09-10,5,20,AM,Derailment,Colorado,88,<=1/4 mile,Rain,5,5761,42,6,Human,Leased Another Railroad,Max spd 10mph or less,11,11,19,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
22002,2022-01-02,8,31,PM,Grade crossing accident,Hawaii,75,>1 mile and <=2 miles,Clear/PC,0,0,0,0,Other,Owned by Carrier,Max spd 25-40mph,3,3,117,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
22053,2022-02-22,11,35,AM,Derailment,Hawaii,82,>1/4 mile and <=1/2 mile,Clear/PC,4,0,0,0,Human,Leased Another Railroad,Max spd 25-40mph,7,6,97,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
1001783636,2022-10-21,10,10,PM,Derailment,Louisiana,47,>1 mile and <=2 miles,Clear/PC,10,9233,57,57,Other,Jointly Owned,Max spd 10-20mph,4,4,61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
