IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV,
21,3,BNSF,PR0321103,,,,,21,3,BNSF,PR0321103,,,21,3,12,8,3,PM,1,0,0,0,0,,GILLETTE,585.9,56,31,3,1,10,E,RPWR,3,264,1,Y,109,1,0,2,HPJX,555344,10,N,,,0,,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,222253,9000,H318,H602,0,0,0,0,H318,2,1,10,231253,,56C005,0,0,0,1,0,1,1,11,33,11,33,1,8,,CL,,,,171,,2021,0,0,0,0,0,0,CAMPBELL,5,0,0,,N,OTH,000-000-000,R-PWR4821-12 DERAILED 5 RAILCARS IN YARD TRACK 109 DURING SWITCHING OPERATIONS DUE TO INADEQUATE PRE,CAUTIONS WHILE KICKING RAILCARS.  NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,,0,44.289753,-105.279856,2,5,K,,,BLACK HILLS,
21,3,BNSF,PR0321105,,,,,21,3,BNSF,PR0321105,,,21,3,14,2,0,PM,4,0,0,0,0,,GUERNSEY,95.4,56,32,2,6,6,R,ESAI,4,3035,1,Y,202,1,0,2,BNSF,5669,1,,,,0,,2,0,0,0,1,0,0,0,0,0,1,0,134,0,0,0,0,0,0,0,5000,0,H607,H510,0,0,0,0,H607,2,1,10,29168,,56C031,0,0,0,1,0,1,0,3,,3,,1,6,,CL,,,,214,,2021,0,0,0,0,0,0,PLATTE,31,,,,N,OTH,000-000-000,E-SAIBTM8-14 IMPACTED THE E-CNMBTM7-19 WHILE PULLING OUT OF YARD TRACK 202 DUE TO FAILURE TO COMPLY,WITH RESTRICTED SPEED.  RESULTED IN DAMAGES TO 2 RAILCARS AND 1 LOCOMOTIVE.  NO HAZARDOUS MATERIALS,WERE RELEASED.,,,,,,,,,,,,,0,42.276592,-104.749633,2,5,K,,,CANYON,
21,8,BNSF,CA0821110,21,8,ITSZ,INDUSTRY,21,8,BNSF,CA0821110,,,21,8,21,8,0,AM,1,0,0,0,0,,STOCKTON,1114.1,6,72,3,1,5,E,YSIF,3,357,7,Y,207,1,,2,DTTX,655719,5,Y,,,0,,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,H307,H702,0,0,0,0,H307,2,1,5,32000,,06C077,0,0,0,1,0,1,1,,,,,1,7,,CL,,,,366,,2021,0,0,0,0,0,0,SAN JOAQUIN,77,,,,N,OTH,000-000-000,ITS MAERSK EMPLOYEES OPERATING Y-SIF1012-01 DERAILED 3 RAILCARS 1 LOCOMOTIVE AND IMPACTED AND DAMAGE,"D A LOCOMOTIVE WHILE SHOVING YARD TRACK 207 DUE TO FAILURE TO CONTROL SHOVE MOVE IN
TURN RUNNING TH","ROUGH AN IMPROPERLY LINED SWITCH. NO HAZARDOUS MATERIALS WERE RELEASED. $201,503 IN CAR DAMAGE CAUSE",D BY ITS MAERSK EMPLOYEES. INDUSTRY CREW TIME ON DUTY IS UNKNOWN .,,,,,,,,,,,,0,37.907616,-121.175951,2,5,K,,,STOCKTON,
21,8,UP,0821NC041,,,,,21,8,UP,0821NC041,,,21,8,27,3,7,PM,1,7,3,0,0,,MOUNT SHASTA,328.11,6,79,2,1,8,E,MPDR,2,9262,1,Y,SINGLE MAIN TRACK,3,21.4,1,TTGX,157390,38,N,,,0,,3,0,0,0,0,0,0,0,0,0,56,0,45,0,0,0,0,20,0,0,881322,67580,H506,,0,0,0,0,H506,1,3,8,948902,,06C093,0,0,0,1,0,1,0,6,4,6,5,1,7,,CL,,,,1500,,2021,0,0,0,0,0,0,SISKIYOU,93,,,,N,CWR,000-000-000,"MDPRVB-26 TRAIN BUILD, 3X0 WITH 33 LOADS ON THE HEAD, 16 LOADS ON THE REAR, WITH 43 OF THE 50+ CARS","BETWEEN LOAD BLOCKS BEING EMPTY. 75 TOTAL CUSHIONED DRAWBARS, 33 OF WHICH WERE EMPTY AUTOS. TRAIN WA",S BUILT WITHIN THE CURRENT GUIDELINES OF OUR TRAIN HANDLING REQUIREMENTS. WHILE ON DESCENDING (HEAVY,MOUNTAIN) GRADE WITH FIRST SERVICE APPLICATION EXPERIENCED A 2PSI DECREASE IN AIR ON THE REAR OF TH,E TRAIN AS INDICATED BY EOT DEVICE WHILE TRAVERSING A SMALL SECTION OF LESS STEEP GRADE IN HEAVILY C,URVED 20MPH AREA. THIS FORCED THE TRAIN TO SLOW DOWN TO A POINT WHERE IT WAS NECESSARY FOR THE ENGIN,EER TO RELEASE THE AUTOMATIC BRAKES. ENGINEER RELEASES BRAKES AND FOR THE NEXT MINUTE AND SEVEN SECO,"NDS, SLOWLY INCREASES THE DYNAMIC BRAKING EFFORT WITH THE REAR END REGISTERING A RELEASE OF THE BRAK",ES AT 32 SECONDS FROM TIME OF RELEASE AND 30% DYNAMICS AT THAT TIME. AT SOME POINT AFTER THE RELEASE,", DUE TO BUFF/LATERAL FORCES THE REAR AXLE OF THE TTGX157390 LIFTED OFF THE RAIL AND CAME DOWN OUTSI",DE THE GAUGE OF THE RAIL ON A CURVE AT MP328.11. THIS IN TURN CAUSED THE TRAIN TO GO INTO EMERGENCY.,THE EMERGENCY NEAR THE REAR OF THE TRAIN CAUSED THAT SECTION TO SLOW DOWN FIRST AND AS THE WEIGHT T,OWARDS THE HEAD END OF THE TRAIN CONTINUED WITH MORE MOMENTUM THE REST OF THE CARS INVOLVED IN THE I,NCIDENT WERE STRING LINED TO THE INSIDE OF THE 2 CURVES INVOLVED IN THE DERAILMENT. ALL PARTIES THAT,REVIEWED THE EVENT RECORDER AND ALL AVAILABLE DOCUMENTATION AGREE THAT TRAIN MAKE-UP LIKELY SIGNIFI,0,41.268681,-122.303445,1,1,Q,J,,BLACK BUTTE SUB,
21,12,UP,1221LA044,,,,,21,12,UP,1221LA044,,,21,12,29,5,30,PM,1,0,0,0,0,,LOS ANGELES,5.52,6,51,2,3,10,E,ZMQL,4,6665,1,Y,YARD 106,1,,2,AOK,55689,7,Y,,,0,,6,0,0,0,0,0,0,0,0,0,104,0,2,0,0,7,0,0,0,0,47328,93109,H704,,0,0,0,0,H704,2,1,10,141437,,06C037,0,0,0,1,0,0,1,8,30,,,3,7,,CL,,,,177,,2021,0,0,0,0,0,0,LOS ANGELES,37,,,,N,CWR,000-000-000,"TRAIN ZMQLC-28, WHILE PULLING INTO TRACK 805 DERAILED 6 CARS EAST OF THE 807 SWITCH.  PREVIOUSLY YLA",12-29 CAME OUT OF THE HOULSE WITH LIGHT POWER AND RAN THROUGH THE 807 SWITCH.,,,,,,,,,,,,,,0,34.010096,-118.161645,2,5,L,,,LOS ANGELES SUB,
21,11,FEC,X20110821,21,11,BLF,2021-0065,21,11,FEC,X20110821,,272531W,21,11,8,10,18,AM,7,0,0,0,0,,POMPANO BEACH,332.9,12,75,2,1,0,,,2,0,,,EAST MAIN,4,2.45,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,M308,,0,0,0,2,M308,1,4,79,17344,,12C011,0,0,0,,,,,,,,,1,3,,Cl,,,,294,,2021,0,0,0,0,0,0,BROWARD,11,,,,,CWR,000-000-000,BLF 702 WAS TRAVELING SOUTHBOUND ON THE EAST MAIN AND STRUCK A VEHICLE AT HAMMONDVILLE ROAD.  DRIVER,RAN THROUGH THE ACTIVATED GATES AND WAS STOPPED ON THE EAST MAIN FACING EAST.  DRIVER AND PASSENGER,SUSTAINED MINOR INJURIES AND WERE TRANSPORTED TO THE HOSPITAL BY EMS.  BLF COSTS WERE $17154.,,,,,,,,,,,,,,26.234183,-80.125086,1,1,B,Q,,SYSTEM,
21,9,ATK,168277,,,,,21,9,CFRC,21250,,622068G,21,9,7,2,8,PM,7,0,0,0,0,,LONGWOOD,777.3,12,91,2,1,47,E,98,1,0,2,Y,MAIN TRACK 2,3,,1,AMT,144,1,,,,0,,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5968,0,M303,,0,2,0,2,M303,1,3,47,5968,,12C117,2,0,0,1,2,1,1,7,8,7,8,1,3,,No,,,,207,,2021,0,1,0,1,0,0,SEMINOLE,117,,,,Y,CWR,,GRADE CROSSING: TRAIN 98(07) WAS DELAYED 139` WHEN IT STRUCK THE REAR END OF A TRAILER (AUTO HAULER),AT MP777.2 ON THE CFRC ORLANDO SUBDIVISION. THE TRAILER WAS BLOCKING THE CROSSING AS THE TRAIN APPR,OACHED.,,,,,,,,,,,,,0,28.705928,-81.342897,1,1,J,Q,,ORLANDO,
21,12,CSX,201811,,,,,21,12,CSX,201811,,,21,12,11,5,30,PM,12,0,0,0,0,,WAYCROSS,587.0,13,75,3,1,4,E,,4,0,6,N,B45,1,0.0,2,CSXT,139380,1,N,,,0,N,0,0,0,0,0,0,0,0,0,0,32,0,8,0,0,0,0,2,0,0,2830,328,S016,,0,0,0,0,S016,2,1,4,43026,,13C299,0,0,0,0,0,0,0,,,,,3,3,,CL,,,,657,,2021,0,0,0,0,0,0,WARE,299,,,,N,OTH,000-000-000,"AT APPROXIMATELY 1710 HRS ON DECEMBER 11,  2021 ASSIGNMENT Y292 WAS IN THE PROCESS OF PULLING TRACK",B44 WHEN B45 CAME INTO THE FOUL SIDESWIPING 5 CARS AND ULTIMATELY DERAILING 2 CARS UPRIGHT. B45 HAD,29 CARS CONSISTING OF 7 EMPTIES/22 LOADS WHEN 11 MORE CARS (10 LOADS/1 EMPTY) WERE HUMPED INTO B45 B,ETWEEN 1654 AND 1708 ULTIMATELY PUSHING THE EXISTING CARS IN TRACK B45 IN THE FOUL. THE ROLL OUT CIR,CUIT ALARM BROADCAST FOR THIS TRACK WAS FOUND TO BE INOPERABLE WHEN THE CARS OCCUPIED THE ROLL OUT C,IRCUIT WHICH PREVENTED THE ESTABLISHED PROCESS IN PLACE TO SECURE TRACKS AFTER GIVING THIS ALARM BEF,ORE ALLOWING HUMPING OPERATIONS TO RESUME FOR SAID TRACK.,,,,,,,,,0,0,0,2,5,,,,THOMASVILLE,
21,12,CSX,201811,,,,,21,12,CSX,201811,,,21,12,11,5,30,PM,12,0,0,0,0,,WAYCROSS,587.0,13,75,3,1,4,E,Y292,4,0,7,Y,B45,1,0.0,2,CTCX,780149,1,Y,,,0,,1,0,0,0,0,0,0,0,0,0,26,0,8,0,0,0,0,0,0,0,39868,0,S016,,0,0,0,0,S016,2,1,4,43026,,13C299,0,0,0,1,0,0,0,2,30,,,1,3,,CL,,,,657,,2021,0,0,0,0,0,0,WARE,299,,,,N,OTH,000-000-000,"AT APPROXIMATELY 1710 HRS ON DECEMBER 11,  2021 ASSIGNMENT Y292 WAS IN THE PROCESS OF PULLING TRACK",B44 WHEN B45 CAME INTO THE FOUL SIDESWIPING 5 CARS AND ULTIMATELY DERAILING 2 CARS UPRIGHT. B45 HAD,29 CARS CONSISTING OF 7 EMPTIES/22 LOADS WHEN 11 MORE CARS (10 LOADS/1 EMPTY) WERE HUMPED INTO B45 B,ETWEEN 1654 AND 1708 ULTIMATELY PUSHING THE EXISTING CARS IN TRACK B45 IN THE FOUL. THE ROLL OUT CIR,CUIT ALARM BROADCAST FOR THIS TRACK WAS FOUND TO BE INOPERABLE WHEN THE CARS OCCUPIED THE ROLL OUT C,IRCUIT WHICH PREVENTED THE ESTABLISHED PROCESS IN PLACE TO SECURE TRACKS AFTER GIVING THIS ALARM BEF,ORE ALLOWING HUMPING OPERATIONS TO RESUME FOR SAID TRACK.,,,,,,,,,1,0,0,2,5,,,,THOMASVILLE,
21,12,CSX,201930,,,,,21,12,CSX,201930,,,21,12,17,5,18,PM,1,20,5,0,0,,AUGUSTA,459.0,13,71,2,1,7,R,Y291,2,0,7,Y,EAST END A22,1,0.0,2,UTLX,680134,25,Y,,,0,,2,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,33321,12492,T211,,0,0,0,0,T211,2,1,7,45813,,13C245,0,0,0,1,0,0,0,1,48,,,1,3,,CL,,,,95,,2021,0,0,0,0,0,0,RICHMOND,245,,,,N,OTH,000-000-000,Y29017 SHOVING 33 CARS IN TRACK A22. THE RAIL BROKE UNDER CUT THE CUT OF CARS DERAILING 5 CARS.,,,,,,,,,,,,,,,1,33.455455,-81.952475,2,5,,,,AUGUSTA,
