IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,TYPE,CARS,CARSDMG,CARSHZD,EVACUATE,DIVISION,STATION,MILEPOST,STATE,TEMP,VISIBLTY,WEATHER,TRNSPD,TYPSPD,TRNNBR,TRNDIR,TONS,TYPEQ,EQATT,TRKNAME,TRKCLAS,TRKDNSTY,TYPTRK,RRCAR1,CARNBR1,POSITON1,LOADED1,RRCAR2,CARNBR2,POSITON2,LOADED2,HEADEND1,MIDMAN1,MIDREM1,RMAN1,RREM1,HEADEND2,MIDMAN2,MIDREM2,RMAN2,RREM2,LOADF1,LOADP1,EMPTYF1,EMPTYP1,CABOOSE1,LOADF2,LOADP2,EMPTYF2,EMPTYP2,CABOOSE2,EQPDMG,TRKDMG,CAUSE,CAUSE2,CASKLDRR,CASINJRR,CASKLD,CASINJ,ACCAUSE,ACCTRK,ACCTRKCL,HIGHSPD,ACCDMG,DUMMY2,STCNTY,TOTINJ,DUMMY3,TOTKLD,ENGRS,FIREMEN,CONDUCTR,BRAKEMEN,ENGHR,ENGMIN,CDTRHR,CDTRMIN,JOINTCD,REGION,DUMMY4,TYPRR,DUMMY5,RRDIV,METHOD,NARRLEN,DUMMY6,YEAR4,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,OTHERKLD,OTHERINJ,COUNTY,CNTYCD,ALCOHOL,DRUG,DUMMY7,PASSTRN,SSB1,SSB2,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15,RCL,Latitude,Longitud,SIGNAL,MOPERA,ADJUNCT1,ADJUNCT2,ADJUNCT3,SUBDIV
23,2,CSX,209583,,,,,23,2,CSX,209583,,,23,2,1,6,59,AM,1,0,0,0,0,,MOBILE,665,1,70,1,1,5,E,M521,2,5097,1,Y,OLD MAIN,1,0,2,CABX,70104,47,N,,,0,,3,0,0,0,0,0,0,0,0,0,32,0,20,0,0,2,0,3,0,0,34148,10483,H702,,0,0,0,0,H702,2,1,5,44631,,01C097,0,0,0,1,0,1,0,8,29,8,29,1,3,,CL,,,,228,,2023,0,0,0,0,0,0,MOBILE,97,0,0,,N,CWR,000-000-000,"Y32131 WAS YARDING THE M52130. WHILE MAKING THE SET OFF INTO TRACK S1A, THEY FAILED TO LINE A SWITCH",PROPERLY FOR THEIR INTENDED ROUTE. ONCE SET OFF WAS MADE THEY PULLED THROUGH THE SWITCH THAT WAS RU,"N THROUGH, DERAILING 5 CARS.",,,,,,,,,,,,,0,30.711383,-88.04655,1,5,,,,M AND M
23,2,BLF,20231562,,,,,23,2,FEC,X11021723,,272474K,23,2,17,6,58,PM,7,0,0,0,0,,LANTANA,309.17,12,76,4,1,32,E,BLF7,2,0,2,Y,EAST MAIN,4,2.45,1,BLF,707,1,N,,,0,,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,21997,0,M308,,0,0,0,0,M308,1,4,32,22523,,12C099,0,0,0,1,,1,,5,58,5,58,1,3,,No,,,,302,,2023,0,0,0,0,0,0,PALM BEACH,99,,,,Y,CWR,000-000-000,BLF707 TRAVELING S/B ON THE EAST MAIN TRACK OBSERVED A VEHICLE DISREGARD THE DOWNED GATES AND STOP I,"N THE FOUL OF THE TRACKS. HORN WAS SOUNDED AND TRAIN PLACED INTO EMERGENCY, STRIKING THE VEHICLE. TH",E DRIVER OF THE VEHICLE EXITED PRIOR TO THE STRIKE RESULTING IN NO INJURIES. FEC DAMAGE COST: $525.8,8,,,,,,,,,,,,0,26.571991,-80.053848,1,1,B,Q,,SYSTEM
23,2,FEC,X07020823,23,2,BLF,20231497,23,2,FEC,X07020823,,272498Y,23,2,8,8,6,PM,7,0,0,0,0,,DELRAY BEACH,319.36,12,71,4,1,0,,,2,0,,,EAST MAIN,4,2.45,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16628,M308,,0,0,2,0,M308,1,4,71,50799,,12C099,0,0,0,,,,,,,,,2,3,,Cl,,,,293,,2023,0,0,0,0,0,0,PALM BEACH,99,,,,,CWR,000-000-000,BLF 709 WAS TRAVELING SOUTHBOUND ON THE EAST MAIN TRACK AND OBSERVED A VEHICLE SITTING IN THE FOUL O,F THE EAST MAIN.  HORN WAS SOUNDED AND TRAIN PLACED INTO EMERGENCY STRIKING THE VEHICLE.  THE STRIKE,"RESULTED IN FATALITIES TO BOTH THE DRIVER AND THE PASSENGER.  BLF DAMAGE COSTS WERE $34,171.",,,,,,,,,,,,,,26.425325,-80.076109,1,1,B,Q,,SYSTEM
23,2,FEC,X09021523,23,2,BLF,20231544,23,2,FEC,X09021523,,272516U,23,2,15,3,15,PM,7,0,0,0,0,,DEERFIELD BEACH,329.01,12,80,2,1,0,,,2,0,,,EAST MAIN,4,2.45,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,M308,,0,0,0,1,M308,1,4,79,16571,,12C011,0,0,0,,,,,,,,,2,3,,Cl,,,,281,,2023,0,0,0,0,0,0,BROWARD,11,,,,,CWR,000-000-000,BLF 708 WAS TRAVELING SOUTHBOUND ON THE EAST MAIN TRACK AND OBSERVED A VEHICLE GO AROUND THE DOWNED,GATES AND DRIVE OVER THE TRACKS.  HORN WAS SOUNDED AND TRAIN PLACED INTO EMERGENCY STRIKING THE VEHI,"CLE.  DRIVER SUSTAINED ABRASIONS TO FACE AND LEG.  BLF DAMAGE COSTS WERE $16,160.",,,,,,,,,,,,,,26.289979,-80.109263,1,1,B,Q,,SYSTEM
23,2,FEC,X11021723,23,2,BLF,20231562,23,2,FEC,X11021723,,272474K,23,2,17,6,58,PM,7,0,0,0,0,,LANTANA,309.17,12,76,4,1,0,,,2,0,,,EAST MAIN,4,2.45,1,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,M308,,0,0,0,0,M308,1,4,32,22523,,12C099,0,0,0,,,,,,,,,2,3,,Cl,,,,327,,2023,0,0,0,0,0,0,PALM BEACH,99,,,,,CWR,000-000-000,BLF 707 WAS TRAVELING SOUTHBOUND ON THE EAST MAIN TRACK AND OBSERVED A VEHICLE DISREGARD THE DOWNED,GATES AND STOPPED IN THE FOUL OF THE TRACKS.  HORN WAS SOUNDED AND TRAIN PLACED INTO EMERGENCY STRIK,ING THE VEHICLE.  THE DRIVER OF THE VEHICLE EXITED PRIOR TO THE STRIKE RESULTING IN NO INJURIES.  BL,"F DAMAGE COSTS WERE 21,997.",,,,,,,,,,,,,26.571991,-80.053848,1,1,B,Q,,SYSTEM
23,2,BNSF,CH0223113,,,,,23,2,BNSF,CH0223113,,,23,2,11,4,3,PM,12,0,0,0,0,,GALESBURG,165.4,17,40,2,1,9,E,YGAL,3,2563,7,Y,2038,1,0,2,BNSF,728743,31,N,COER,816314,32,N,1,0,0,0,0,0,0,0,0,0,14,0,31,0,0,0,0,0,0,0,32454,0,E06C,,0,0,0,0,E06C,2,1,9,32454,,17C095,0,0,0,0,0,1,1,,,1,33,1,4,,CL,,,,179,,2023,0,0,0,0,0,0,KNOX,95,,,,N,OTH,000-000-000,Y-GAL2022-11A WAS IN PROCESS OF CLASSIFYING CARS WHEN 2 RAILCARS STALLED ON HUMP TRACK AND STRUCK BY,1 RAILCAR FROM SAME CREW DUE TO A BRAKE VALVE MALFUNCTION. NO HAZMAT RELEASED.,,,,,,,,,,,,,,3,40.914039,-90.380542,2,5,K,,,BROOKFIELD
23,2,BNSF,CH0223114,,,,,23,2,BNSF,CH0223114,,,23,2,12,7,7,AM,1,0,0,0,0,,SMITHBORO,101.7,17,50,1,1,45,E,CBTM,4,19157,1,Y,SINGLE MAIN TRACK,4,0,1,CAEG,24066,79,Y,CAEG,24066,79,Y,2,0,0,0,1,0,0,0,0,0,134,0,0,0,0,1,0,0,0,0,5418,582545,E61C,,0,0,0,0,E61C,1,4,45,587963,,17C005,0,0,0,1,0,1,0,7,52,7,52,1,6,,CL,,,,166,,2023,0,0,0,0,0,0,BOND,5,,,,N,CWR,000-000-000,C-BTMCEB0-11A DERAILED 1 RAILCAR ON SINGLE MAIN TRACK AND DRAGGING EQUIPMENT APPROXIMATELY 8 MILES B,EFORE STOPPING. DERAILED DUE TO BROKEN WHEELS. NO HAZMAT RELEASED.,,,,,,,,,,,,,,0,38.775397,-89.292957,2,2,P,,,BEARDSTOWN
23,1,BNSF,CH0123113,,,,,23,1,BNSF,CH0123113,,,23,1,24,3,38,PM,1,0,0,0,0,,ELWOOD,3.1,17,36,2,2,9,R,QLPC,3,5190,1,Y,4704,1,0,2,SFLC,9165,40,Y,,,0,,3,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,0,5617,6200,H307,H303,0,0,0,0,H307,2,1,9,11817,,17C197,0,0,0,1,0,1,0,2,8,2,8,1,4,,CL,,,,227,,2023,0,0,0,0,0,0,WILL,197,,,,N,OTH,000-000-000,Q-LPCLAC6-24A WAS SHOVING CARS INTO YARD TRACK 4704 AND REALIZING THEY WERE ON THE WRONG TRACK. CREW,WAS NOT ABLE TO STOP SHORT OF GATE AND RED FLAG PROTECTION AND RUNNING OVER THE DERAIL. DERAILED 1,RAILCAR. NO HAZMAT RELEASED,,,,,,,,,,,,,0,41.38014,-88.15172,2,5,K,,,CHILLICOTHE
23,2,BNSF,CH0223117,,,,,23,2,BNSF,CH0223117,,,23,2,15,3,22,PM,1,0,0,0,0,,GALESBURG,163.2,17,38,2,2,4,R,YGAL,1,0,8,Y,1,1,0,2,BNSF,1118,1,,,,0,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,7000,H303,,0,0,0,0,H303,2,1,4,14000,,17C095,0,0,0,2,0,0,0,,52,,,1,4,,CL,,,,119,,2023,0,0,0,0,0,0,KNOX,95,,,,N,OTH,000-000-000,"Y-GAL5211-15A DERAILED 1 LOCOMOTIVE ON YARD TRACK DUE TO STOPPED SHORT OF, BUT FAILED TO LINE DERAIL",BEFORE PROCEEDING.,,,,,,,,,,,,,,0,40.933651,-90.371204,2,5,K,,,BROOKFIELD
23,3,BRC,14620,,,,,23,3,BRC,14620,,,23,3,15,12,20,AM,1,0,0,0,0,,BEDFORD PARK,9,17,25,4,1,5,E,2300,4,0,7,Y,31 WDEP,1,,2,SHPX,43280,1,Y,,,0,,2,0,0,0,0,0,0,0,0,0,7,0,7,0,0,5,0,2,0,0,136205,1000,H702,,0,0,0,0,H702,2,1,5,137205,,17C031,0,0,0,1,0,1,0,1,20,1,20,1,4,,Cl,,,,108,,2023,0,0,0,0,0,0,COOK,31,,,,N,CWR,000-000-000,AT 0020 3/15/2023 CREW OF 2300XW WAS SWITCHING CARS WHEN RAN SWITCH AGAINST ITSELF CAUSING 7 CARS TO,DERAIL.,,,,,,,,,,,,,,3,41.768,-87.78031,2,5,K,,,SYSTEM
