incdtno,year,month,day,timehr,timemin,ampm,type,state,temp,visiblty,weather,trnspd,tons,loadf1,emptyf1,cause,acctrk,acctrkcl,enghr,cdtrhr,cntycd
UTA022722D,22,3,6,10,0,AM,1,49,33,2,6.0,5,3395,20,11,H,2,1,2,2,49
0822MA007,22,8,4,2,10,AM,12,5,81,4,1.0,0,5221,38,6,H,2,1,3,3,33
0822MA007,22,8,4,2,10,AM,12,5,81,4,1.0,9,9431,64,32,H,2,1,1,3,33
0922NC005,22,9,5,11,12,PM,1,6,83,4,2.0,14,6887,50,16,E,1,2,5,5,61
0922NC008,22,9,8,10,30,AM,1,6,73,2,1.0,0,0,0,0,H,3,3,4,4,107
CA0822110,22,8,23,7,58,PM,13,6,95,3,1.0,8,0,0,0,M,2,1,3,5,71
0922NC010,22,9,10,5,20,AM,1,6,88,1,2.0,5,5761,42,6,H,2,1,11,11,19
22002,22,1,2,8,31,PM,9,12,75,4,1.0,0,0,0,0,M,1,4,3,3,117
22053,22,2,22,11,35,AM,1,12,82,2,1.0,4,0,0,0,H,2,4,7,6,97
1001783636,22,10,21,10,10,PM,1,19,47,4,1.0,10,9233,57,57,T,3,2,4,4,61
1022GL011,22,10,10,1,40,PM,7,19,77,2,1.0,45,5293,143,0,M,1,4,8,8,27
1022GL013,22,10,14,6,17,AM,1,19,34,1,1.0,9,3651,21,24,T,2,1,6,3,153
CH0822107,22,8,8,8,0,PM,1,17,70,3,2.0,10,110,1,0,H,2,1,6,6,197
20220726,22,7,26,3,45,AM,1,17,76,4,3.0,4,0,76,0,S,2,1,3,3,163
9419001189,22,12,4,1,30,PM,7,17,50,2,1.0,25,0,0,0,M,1,2,4,4,31
9419001225,22,12,27,9,0,PM,9,17,25,4,1.0,21,0,0,0,M,1,2,1,1,31
9419001236,22,12,23,11,1,AM,12,17,-3,2,2.0,15,0,0,0,E,1,4,2,2,31
1222PR002,22,12,4,9,1,AM,1,17,24,2,1.0,7,740,0,10,H,2,1,2,3,43
TPW216222G,22,10,7,3,20,PM,7,18,58,2,1.0,9,5182,35,33,M,1,1,4,4,181
0522HL008,22,5,8,4,42,AM,1,20,63,1,2.0,3,1953,10,12,H,2,1,5,3,209
KS0822107,22,8,11,5,35,PM,1,20,80,3,1.0,9,4257,30,29,H,2,1,3,3,209
0722HL010,22,7,7,7,30,PM,1,20,88,3,1.0,4,12500,104,0,E,2,1,3,3,209
KS0822101,22,8,3,3,51,AM,4,20,72,4,1.0,9,8200,51,43,H,2,1,3,3,209
KS0622110,22,6,11,1,30,AM,1,20,75,4,1.0,10,2849,16,33,M,2,1,3,3,209
